,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
winequality-white-3_vs_7,0.23659990556100396,0.13402920179235972,0.09281720328075829,0.25641558441558443,0.07587404808761873,0.25206535947712416,0.20936953341127915,0.15502954347883352
ecoli1,0.7106954993815388,0.7204958576848716,0.7283649187495245,0.7301673789011254,0.7413022669825966,0.7355680441899911,0.7474037231446926,0.7356771108934539
ecoli2,0.7117932632759427,0.740951890113478,0.7303661164785082,0.7015335655629774,0.7108290859316319,0.7398838696594167,0.7431429842413796,0.7308163516844725
ecoli3,0.5680207537560479,0.4486726285410495,0.5138461444205988,0.548648949292542,0.5578870284325996,0.5922782446311858,0.6171078970931109,0.5782707889190559
glass0,0.6519498840929538,0.6975697874209411,0.6891704562795911,0.6795920904140842,0.6823652108591688,0.7088745956677056,0.7224781589778846,0.6885986185533742
glass1,0.6510416725182969,0.6438249939586408,0.6416361337145651,0.658674884885691,0.5960764502429279,0.6552803828192169,0.6654023198252533,0.6544781149445847
haberman,0.36086451789260704,0.3356439245731023,0.3787112974511957,0.3848273842108917,0.38108786656112004,0.42635769584430133,0.4040640572273778,0.4273428445587161
pima,0.575161968700648,0.5698504315601602,0.5827245541647894,0.5684600452113093,0.5493572026577193,0.5605229508167556,0.563488281692915,0.5705950656604063
yeast3,0.6938942610740896,0.6913115539864005,0.699387616810381,0.6812014833556498,0.7058939440083576,0.714428356964507,0.7192305950095099,0.7262886725937527
RANKING,4.583333333333333,5.138888888888889,5.222222222222222,5.638888888888889,5.833333333333333,3.361111111111111,3.111111111111111,3.111111111111111
Wilcoxon test,,,,,,,,
