,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
page-blocks-1-3_vs_4,0.865475278233899,0.9538107869142352,0.9441333675593964,0.7897228690849379,0.9426996758031241,0.875205025786227,0.8971942730980549,0.8804336046785991
yeast-0-5-6-7-9_vs_4,0.37588319587920127,0.38149178902001535,0.3828054409569003,0.4076288098744003,0.4197928229577503,0.3918761432045494,0.41595966829049524,0.4030808387901129
yeast-1-2-8-9_vs_7,0.21783236865985817,0.17701510612058424,0.1298384677443117,0.20376007078186792,0.1355886257215161,0.1945981795981796,0.19112205101810245,0.21017563864472638
yeast-1-4-5-8_vs_7,0.12417352313786949,0.10614382738404597,0.10495262080899903,0.10847837941262159,0.11676074792310835,0.10778976383573546,0.1199572087300282,0.13607949307563236
yeast-1_vs_7,0.339368185577863,0.27929500014260855,0.2224198433387893,0.25568573903470565,0.23001379033171165,0.3553274402871177,0.35586459687266137,0.3213708102751071
yeast-2_vs_4,0.6813268027595829,0.682078686254672,0.7139107227600153,0.6393857694450726,0.6937251033470022,0.6823700466793692,0.6987699324071139,0.6874052912484419
yeast-2_vs_8,0.4859026499815974,0.48038098375054894,0.4736260048113595,0.4767837476533129,0.41157782490986816,0.45549129339175104,0.4692527039449237,0.4259491970018285
yeast4,0.2684948229319713,0.2816559634189593,0.27491551237022105,0.24208362234950176,0.26710775260625613,0.29834666603384663,0.2653027145303705,0.31862656307142234
yeast5,0.6194900808415428,0.6416867146348695,0.679947560886894,0.574792777320438,0.6958869112583469,0.6343823869170311,0.6326435745258898,0.6608404870187871
yeast6,0.3906557203345803,0.4232773143299459,0.35104677313606963,0.391912092111952,0.36178464846670205,0.4438837441239415,0.43408389266125375,0.41492307883106666
ecoli-0-1-4-7_vs_2-3-5-6,0.5903389912255973,0.6075715699842386,0.5595258592091674,0.6067878791268179,0.5728757261154369,0.6262440467502136,0.6313552997058306,0.6289802841137657
ecoli-0-1_vs_2-3-5,0.6023062884977005,0.6369780387423407,0.6036050503441808,0.6302286416863077,0.6128140354269386,0.6750404843847597,0.6879306667567537,0.6949580368545886
ecoli-0-2-6-7_vs_3-5,0.6140396877467815,0.6062552032254549,0.6102939166097061,0.5198123212770258,0.6018840574126418,0.6387212480165771,0.6578622788348188,0.617610305958132
ecoli-0-6-7_vs_3-5,0.6663297737096363,0.633910584629563,0.5991500168616873,0.6225659406304568,0.5912047390245133,0.6377716365102934,0.6439358342806618,0.6550120367809154
ecoli-0-6-7_vs_5,0.7037181188264781,0.6731580510992274,0.6631769407063525,0.5837134502923976,0.5759744960921431,0.7233921051784294,0.7194912579829794,0.7468322884246966
yeast-0-2-5-6_vs_3-7-8-9,0.4760393973900069,0.48250152337692065,0.4355237492880109,0.4340658363497639,0.41314686815264945,0.4726364587748453,0.4708419775784066,0.4941491536773558
yeast-0-3-5-9_vs_7-8,0.3357299607677638,0.31098192977988826,0.2770565787776258,0.2824527278100322,0.24646014754748338,0.32214119914483147,0.3128705237670447,0.31750892266358294
abalone-17_vs_7-8-9-10,0.28596893522767075,0.25141550267320584,0.2184072265986643,0.22705895470932824,0.24636016153128862,0.25030522708605535,0.27960088320948,0.23393968793540182
abalone-19_vs_10-11-12-13,0.08422825109037924,0.06996875287197868,0.08490712619389937,0.05302290546377947,0.08209417697431107,0.0936385916730561,0.0973284916981538,0.09823842133876592
abalone-20_vs_8-9-10,0.24522128095403956,0.24012288581771588,0.2385004917563057,0.24829072528567903,0.23668248948074316,0.22440235493668997,0.2337215334351058,0.19445519547173387
flare-F,0.18855004323180577,0.18187486927180702,0.19384416335733826,0.1893179955795098,0.1759799933339971,0.21768710174010292,0.20917455514748573,0.20784880318071725
kr-vs-k-zero_vs_eight,0.9281694866852288,0.8384422008110166,0.9208253090789243,0.8193781460917892,0.8724859910034741,0.905309526299515,0.8623805215936571,0.9156543538857221
poker-8-9_vs_5,0.09103305893481392,0.09545693803595412,0.10040940710282172,0.07838957298548091,0.09130646782012765,0.11472884634728245,0.06941415480879938,0.11112393450898816
poker-8-9_vs_6,0.17952610996089258,0.08512820512820514,0.2903341186951026,0.1820439926556868,0.28883255314289796,0.8233501870765497,0.7829624246721021,0.7544602701346886
poker-8_vs_6,0.24761904761904763,0.2544230769230769,0.4177806724865548,0.25416300933328795,0.42297050444109263,0.6375420648808723,0.6613675213675214,0.6274355572188389
winequality-red-4,0.11361480183374173,0.09155543444780405,0.1441065112179681,0.1166171130273971,0.09293964061269666,0.10860900421327555,0.13235838578807943,0.14936473429008562
winequality-white-3-9_vs_5,0.17691009473618172,0.0723655533344439,0.06559736597507115,0.1638083656521541,0.0553190414032389,0.17089915040514042,0.14520778962639425,0.1392042964626577
