,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
poker-8-9_vs_6,0.19044372294372297,0.10929487179487178,0.2846181596181596,0.1704341765083453,0.2617744541985529,0.827238455988456,0.746311303076009,0.7411694398791172
poker-8_vs_6,0.3092156862745098,0.3892857142857143,0.5134920634920636,0.2973015873015873,0.5021177330581356,0.666984126984127,0.7463636363636365,0.6966666666666667
winequality-red-4,0.10488116022999742,0.09063419871017493,0.10084788436070143,0.10296918894383397,0.06530716670500147,0.09204616334183466,0.11319822705876992,0.101546429170735
winequality-white-3-9_vs_5,0.1969481349852194,0.07283382252422499,0.044180356893490536,0.16402916569628107,0.036340007139756825,0.1579737503875435,0.13122354497354496,0.11770558398197357
winequality-white-3_vs_7,0.30446581196581196,0.16408730158730156,0.06843419119953648,0.31392857142857145,0.055921268688963785,0.28051587301587305,0.2529621848739496,0.16859774436090227
ecoli1,0.7078245325255393,0.7210968846761249,0.7070399243266745,0.6996838491147954,0.7131231710432095,0.7145004260445437,0.7311149231115668,0.691861040747819
ecoli2,0.7183087941485558,0.7466849816849818,0.7226899021781626,0.7127717186195447,0.6740537298067785,0.7162815719910018,0.7401236233515955,0.7194619411073684
ecoli3,0.5913088235294117,0.4484404639048602,0.459445715738622,0.5169952659426343,0.5069380181222286,0.5465340500298772,0.5750566534914362,0.4931572199730094
glass0,0.6278054817400408,0.6912362385206012,0.6645663867690723,0.6416198354894797,0.6511502979944604,0.6665052457536725,0.6910628136896957,0.6278872383152375
glass1,0.6486106945868813,0.6408716583312433,0.6253937989388075,0.6340806775621901,0.5814252407634759,0.6295968464328539,0.6392165616293191,0.6110309843257253
haberman,0.3565662535629305,0.3431882593938898,0.3462567230820433,0.3643598668210936,0.3569483953566153,0.37505550728721027,0.35316550401840924,0.33749947170693806
pima,0.5733142854107126,0.559016397532376,0.5634806095160279,0.5432353339714743,0.5384442397330558,0.5463193131917023,0.5413946054537635,0.5630698592454224
yeast3,0.6972880232662333,0.697463965952116,0.6596762158665392,0.6555581797214403,0.6580357395003669,0.6788587446110037,0.6873019007446534,0.6868011726000682
RANKING,2.888888888888889,3.0,5.805555555555555,5.5,6.555555555555555,3.888888888888889,3.7222222222222223,4.638888888888889
Wilcoxon test,,,,,,", 5",", 5",
