,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
page-blocks-1-3_vs_4,0.8845238095238097,0.9325000000000001,0.9148529411764708,0.7741938397859451,0.9248076923076924,0.8422140522875816,0.8641503267973857,0.844860251117991
yeast-0-5-6-7-9_vs_4,0.3603548663091258,0.3699569062871162,0.3195950638408227,0.35916746398937865,0.3497198544489566,0.36331611365719313,0.39851173639793086,0.3733238816633805
yeast-1-2-8-9_vs_7,0.204161877394636,0.18193733296287476,0.09404906182331088,0.1771980792685127,0.09632650374232524,0.16742784992784993,0.16742077869795258,0.1758455373129286
yeast-1-4-5-8_vs_7,0.11420666290231507,0.11550907425907424,0.07696994652579361,0.09889199880579191,0.0868321958382934,0.09200137492067764,0.1072470025101604,0.11322447188826498
yeast-1_vs_7,0.317605580693816,0.29410173160173164,0.18034462970210713,0.22524223894499862,0.1848177446908097,0.31382694080767104,0.321949011228423,0.29335514653045613
yeast-2_vs_4,0.6830310088462263,0.7105587761674719,0.6828362872887974,0.6179942372980204,0.6513871074745687,0.6681456747020248,0.7159582403963963,0.6784806486102897
yeast-2_vs_8,0.506547619047619,0.5331993006993007,0.4183998778998779,0.47641358641358644,0.342546975970889,0.4380781799899447,0.45254273504273507,0.39487616851747287
yeast4,0.2599686684333708,0.2896818869698127,0.21421397321479557,0.20852533233482587,0.20833686187088946,0.25171472999438754,0.22701694493372454,0.26906044961012865
yeast5,0.6421666323162487,0.6727408210596068,0.658487059967785,0.530725824346514,0.666404290177518,0.5957204518383608,0.58910721510342,0.6087360550595845
yeast6,0.36713076683664914,0.45418109668109674,0.28332402297714704,0.3412340242877328,0.28605064219947013,0.39838235838235836,0.382618850699613,0.3299971005738431
ecoli-0-1-4-7_vs_2-3-5-6,0.582742863861285,0.6560294117647059,0.4884420962893167,0.5961845352789625,0.5197576606400136,0.6030121929154436,0.5976691729323308,0.6004189618431104
ecoli-0-1_vs_2-3-5,0.7265123765123767,0.7227841602841603,0.6237932900432901,0.741011766011766,0.6106675342201658,0.6892178083354554,0.6796411921411922,0.7125490196078431
ecoli-0-2-6-7_vs_3-5,0.6291305916305917,0.6653968253968254,0.5861545807134042,0.5570112781954888,0.5793336728630847,0.6528251353909249,0.6417933893591787,0.6301900584795321
ecoli-0-6-7_vs_3-5,0.707893772893773,0.668080808080808,0.5685914764629935,0.5829141764668081,0.5408700704753336,0.6311002886002887,0.5989316239316239,0.6912148962148962
ecoli-0-6-7_vs_5,0.7910173160173161,0.7696428571428571,0.6858582251082251,0.6557342657342657,0.5892261904761905,0.7552618288144604,0.7470634920634921,0.7549572649572649
yeast-0-2-5-6_vs_3-7-8-9,0.4654975727207093,0.5087238706699292,0.38523606758015827,0.40164170438582475,0.3563991436034154,0.4424636225380282,0.439423431702281,0.4539246432062901
yeast-0-3-5-9_vs_7-8,0.3425308457053981,0.31972364467117087,0.22359704305356476,0.24774292785996171,0.20412865634137867,0.30583392997839,0.29248883248858715,0.2979802918126955
abalone-17_vs_7-8-9-10,0.2712718006642425,0.2630816477848844,0.16087191660521596,0.19571845981981975,0.18001958533577334,0.22806181844276102,0.25852268806073153,0.15766151926367264
abalone-19_vs_10-11-12-13,0.07417314881520279,0.0817099567099567,0.05453444340355812,0.043540935672514616,0.05249633280781886,0.07296774566896519,0.07543800587521142,0.059577340351535654
abalone-20_vs_8-9-10,0.2293090178655194,0.26127917833800185,0.16833966721597035,0.2277859445622603,0.16618423246675296,0.19083766233766233,0.20249415204678362,0.13555862036751165
flare-F,0.2325014910270328,0.1398680044551887,0.19598540806309347,0.15622997576010492,0.17863615324969315,0.22794609839099228,0.2260877409484221,0.21861878436141344
kr-vs-k-zero_vs_eight,0.9104166666666668,0.8711704961704964,0.9068172268907564,0.8425770308123249,0.8766844430079725,0.8588733570351217,0.8360057099762981,0.8776233570351216
poker-8-9_vs_5,0.08615402571284923,0.1035236822001528,0.07068443899028606,0.07449669611434319,0.06583812957954835,0.10536953242835596,0.0678296797764883,0.07987808487808487
