,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
page-blocks-1-3_vs_4,0.9318854568854569,0.9870334620334622,0.9863577863577865,0.903056628056628,0.9796653796653798,0.9615508365508365,0.9731660231660232,0.9653474903474905
yeast-0-5-6-7-9_vs_4,0.6619146627431145,0.6634708884519369,0.6888613675273779,0.6929647962178113,0.7146229468291985,0.6771311838542948,0.6869610232248677,0.6848252495719885
yeast-1-2-8-9_vs_7,0.6074085014889022,0.5756023632160286,0.5730321755096993,0.6027186973770585,0.5815523589348403,0.603918619364291,0.6037014679719535,0.6127208379712875
yeast-1-4-5-8_vs_7,0.544969515524333,0.5341790727866147,0.5376398949271406,0.5352794258605419,0.5480967070699718,0.5360506982613232,0.5439075637899028,0.5569543127191545
yeast-1_vs_7,0.6589368253278274,0.6128968340215895,0.6001271462725495,0.6158088821270739,0.6067807722958778,0.6769158878504673,0.6738183728175035,0.6548272114757662
yeast-2_vs_4,0.8271594612284268,0.8157643276263966,0.8588046866926178,0.8170549106066348,0.8518444515254859,0.8351512797547281,0.8328804758459931,0.8336894714480921
yeast-2_vs_8,0.7383116883116884,0.7285281385281386,0.782922077922078,0.7374458874458875,0.7488095238095238,0.7346320346320346,0.7407142857142857,0.725952380952381
yeast4,0.6286229011321225,0.629920182335916,0.6705635733332375,0.6301260720221474,0.6655070427262522,0.6663560590940503,0.6424597865455489,0.6814036485163854
yeast5,0.8013320707070706,0.8109090909090909,0.8596590909090909,0.8115656565656566,0.8688888888888888,0.8380239898989901,0.8444949494949494,0.8670833333333334
yeast6,0.7084509947117222,0.7038265315397767,0.7354077340595221,0.7271244158551208,0.7437137898659814,0.747691577107124,0.7520046102774635,0.772385551807565
ecoli-0-1-4-7_vs_2-3-5-6,0.7828736949325185,0.774065868771751,0.8001774042950516,0.7970944741532976,0.7990539852304558,0.8097156438332908,0.8239236906883965,0.8157049486461252
ecoli-0-1_vs_2-3-5,0.7631818181818182,0.7784848484848486,0.7828030303030304,0.7747727272727273,0.7981818181818181,0.8267424242424244,0.8355303030303031,0.8359848484848487
ecoli-0-2-6-7_vs_3-5,0.7908640864086408,0.7695319531953194,0.8010351035103509,0.7383888388838884,0.8021152115211521,0.81003600360036,0.8267326732673267,0.7944194419441944
ecoli-0-6-7_vs_3-5,0.8118181818181819,0.7931363636363636,0.8039090909090909,0.8195,0.8115454545454546,0.8179545454545453,0.8300909090909091,0.8098181818181818
ecoli-0-6-7_vs_5,0.8234999999999999,0.7984999999999998,0.826,0.7695,0.7705,0.8455,0.8564999999999999,0.8695
yeast-0-2-5-6_vs_3-7-8-9,0.7160653283290694,0.7067912274679549,0.707787709293411,0.6998719746469766,0.7001020936417701,0.7211496241818536,0.7197140156068287,0.7391233502015938
yeast-0-3-5-9_vs_7-8,0.6318157894736842,0.6178157894736842,0.6122894736842104,0.610298245614035,0.588701754385965,0.628578947368421,0.6243859649122807,0.6250701754385964
abalone-17_vs_7-8-9-10,0.6471733212341197,0.6135102843315184,0.6519147005444645,0.6244797338173018,0.6766666666666665,0.6321521476104053,0.6446597096188749,0.704699032062916
