,Bare classifier,RandomOverSampler,SMOTE,Borderline_SMOTE2,ADASYN,balanced,best_precision,best_recall
page-blocks-1-3_vs_4,0.8714285714285716,0.9785714285714284,0.9785714285714284,0.8214285714285715,0.9642857142857142,0.9357142857142857,0.9571428571428571,0.9428571428571428
yeast-0-5-6-7-9_vs_4,0.40138461538461545,0.40030769230769236,0.48923076923076925,0.4781538461538461,0.5378461538461539,0.43599999999999994,0.4476923076923077,0.4513846153846154
yeast-1-2-8-9_vs_7,0.24666666666666665,0.18,0.21999999999999997,0.24666666666666665,0.23333333333333334,0.24666666666666667,0.24666666666666667,0.2666666666666667
yeast-1-4-5-8_vs_7,0.13999999999999999,0.10666666666666666,0.1733333333333333,0.12666666666666665,0.1933333333333333,0.13333333333333333,0.13999999999999999,0.17333333333333334
yeast-1_vs_7,0.3733333333333333,0.2733333333333333,0.3,0.3066666666666667,0.31333333333333335,0.42000000000000004,0.4133333333333334,0.38
yeast-2_vs_4,0.6906153846153846,0.6626153846153846,0.7569230769230769,0.6829230769230767,0.7486153846153846,0.7104615384615386,0.6981538461538462,0.7053846153846154
yeast-2_vs_8,0.5,0.48,0.6100000000000001,0.5,0.55,0.5,0.51,0.49000000000000005
yeast4,0.28600000000000003,0.2838461538461539,0.3927692307692308,0.30184615384615376,0.3815384615384616,0.37276923076923074,0.32553846153846155,0.40384615384615385
yeast5,0.6136363636363638,0.631818181818182,0.7318181818181819,0.6409090909090909,0.75,0.690909090909091,0.7045454545454545,0.7500000000000001
yeast6,0.4359477124183006,0.41993464052287577,0.5049019607843137,0.4764705882352941,0.5212418300653596,0.5147058823529411,0.5258169934640522,0.573202614379085
ecoli-0-1-4-7_vs_2-3-5-6,0.608095238095238,0.5780952380952382,0.6680952380952381,0.6352380952380952,0.66,0.6604761904761904,0.6947619047619047,0.6757142857142856
ecoli-0-1_vs_2-3-5,0.55,0.5833333333333333,0.6083333333333335,0.575,0.6499999999999999,0.6916666666666668,0.7083333333333334,0.7083333333333334
ecoli-0-2-6-7_vs_3-5,0.6272727272727272,0.5727272727272728,0.6545454545454545,0.5272727272727273,0.6636363636363637,0.6636363636363636,0.7,0.6363636363636364
ecoli-0-6-7_vs_3-5,0.6636363636363637,0.6272727272727273,0.681818181818182,0.7000000000000001,0.7090909090909092,0.6909090909090909,0.7181818181818183,0.6636363636363637
ecoli-0-6-7_vs_5,0.67,0.62,0.7,0.58,0.5900000000000001,0.72,0.75,0.77
yeast-0-2-5-6_vs_3-7-8-9,0.4955510204081633,0.46485714285714286,0.5053061224489797,0.4810612244897959,0.5014285714285714,0.513673469387755,0.511469387755102,0.5540408163265306
yeast-0-3-5-9_vs_7-8,0.33599999999999997,0.308,0.368,0.33199999999999996,0.316,0.344,0.33999999999999997,0.344
abalone-17_vs_7-8-9-10,0.31724137931034485,0.24482758620689657,0.3517241379310345,0.2793103448275862,0.4,0.28965517241379307,0.3137931034482759,0.4793103448275861
abalone-19_vs_10-11-12-13,0.1,0.0625,0.20625,0.06875,0.19375,0.1375,0.14375,0.29375
abalone-20_vs_8-9-10,0.2692307692307693,0.23076923076923078,0.4230769230769231,0.2846153846153846,0.4230769230769231,0.2846153846153846,0.30769230769230765,0.36153846153846153
flare-F,0.16320346320346318,0.26147186147186147,0.20108225108225106,0.24199134199134198,0.18203463203463205,0.21839826839826842,0.2051948051948052,0.20930735930735928
kr-vs-k-zero_vs_eight,0.9538461538461538,0.8296703296703297,0.9461538461538461,0.8131868131868132,0.8780219780219781,0.9615384615384617,0.9104395604395605,0.9615384615384617
poker-8-9_vs_5,0.10512820512820513,0.09615384615384616,0.1846153846153846,0.08782051282051283,0.15833333333333333,0.13397435897435897,0.0794871794871795,0.1980769230769231
poker-8-9_vs_6,0.17435897435897435,0.07884615384615386,0.3153846153846154,0.20897435897435898,0.3384615384615385,0.8551282051282051,0.8487179487179487,0.8012820512820513
poker-8_vs_6,0.20972222222222223,0.20972222222222223,0.38888888888888895,0.22916666666666666,0.4166666666666667,0.6305555555555555,0.6291666666666667,0.6291666666666667
winequality-red-4,0.12735042735042734,0.09743589743589744,0.2574074074074074,0.1353276353276353,0.16623931623931626,0.13917378917378917,0.16267806267806267,0.2877492877492877
winequality-white-3-9_vs_5,0.16858974358974357,0.07307692307692308,0.13653846153846153,0.17820512820512824,0.11858974358974358,0.19358974358974362,0.17756410256410257,0.1935897435897436
winequality-white-3_vs_7,0.21999999999999997,0.12,0.15000000000000002,0.24000000000000007,0.12,0.26,0.22000000000000003,0.17
ecoli1,0.7232793522267208,0.728272604588394,0.7595816464237517,0.7775978407557356,0.7802294197031039,0.7696356275303644,0.7748987854251012,0.7929824561403509
ecoli2,0.7115384615384616,0.75,0.7576923076923077,0.7038461538461538,0.7692307692307694,0.7807692307692308,0.7576923076923077,0.7615384615384616
ecoli3,0.5558823529411765,0.4526143790849673,0.5888888888888888,0.5941176470588236,0.6238562091503269,0.6571895424836602,0.6745098039215686,0.7133986928104574
